time,latitude,longitude,altitude
1718963090.1134357,51.9414118,-2.3980379,105825.0
1718963090.1940143,51.9414132,-2.3980375,105830.0
1718963090.33515,51.9414149,-2.3980375,105812.0
1718963090.456057,51.941416499999995,-2.398037,105837.0
1718963090.5770328,51.941418,-2.3980367,105868.0
1718963090.7182372,51.9414198,-2.3980360999999997,105869.0
1718963090.8389466,51.941421399999996,-2.3980356,105900.0
1718963090.9600368,51.9414228,-2.3980357999999997,105897.0
1718963091.1411748,51.941424299999994,-2.3980354999999998,105901.0
1718963091.2216291,51.941425699999996,-2.3980351,105902.0
1718963091.32242,51.941427399999995,-2.3980348,105902.0
1718963091.46328,51.941429199999995,-2.3980346,105901.0
1718963091.5839272,51.9414306,-2.3980344,105910.0
1718963091.7046804,51.9414321,-2.3980343,105910.0
1718963091.8456984,51.9414339,-2.3980341999999997,105896.0
1718963091.966427,51.9414356,-2.3980337,105912.0
1718963092.1074216,51.9414373,-2.3980333,105967.0
1718963092.20806,51.9414386,-2.3980332,105960.0
1718963092.348753,51.941440099999994,-2.3980329,105970.0
1718963092.4493573,51.9414416,-2.3980327,105958.0
1718963092.5700977,51.9414434,-2.3980326,105988.0
1718963092.7109187,51.9414447,-2.3980324,105970.0
1718963092.8322074,51.9414464,-2.3980318,106005.0
1718963092.9731832,51.941448099999995,-2.3980318,105998.0
1718963093.0938692,51.941449399999996,-2.3980316,105982.0
1718963093.1944582,51.9414501,-2.3980311999999997,106009.0
1718963093.3352804,51.9414501,-2.3980311,106009.0
1718963093.4559987,51.9414497,-2.3980311999999997,106018.0
1718963093.5767107,51.9414495,-2.3980313,106018.0
1718963093.7176664,51.9414497,-2.3980313,106032.0
1718963093.838561,51.9414502,-2.398031,106035.0
1718963093.9795854,51.941451,-2.3980308999999997,106026.0
1718963094.1003854,51.941452,-2.3980307,106039.0
1718963094.2212112,51.9414531,-2.3980300999999997,106043.0
1718963094.342503,51.9414543,-2.3980297999999998,106043.0
1718963094.4633698,51.941455999999995,-2.3980297,106030.0
1718963094.604195,51.9414574,-2.39803,106043.0
1718963094.7249024,51.941458399999995,-2.3980295,106039.0
1718963094.8473423,51.9414592,-2.3980297,106071.0
1718963094.9681864,51.9414605,-2.3980295,106077.0
1718963095.1091135,51.9414619,-2.3980297,106064.0
1718963095.2096407,51.9414632,-2.3980295,106089.0
1718963095.3307164,51.9414638,-2.3980297999999998,106103.0
1718963095.4715607,51.9414637,-2.3980296,106100.0
1718963095.5924215,51.9414632,-2.3980295,106102.0
1718963095.713141,51.941463,-2.3980294,106094.0
1718963095.833865,51.9414632,-2.3980295,106099.0
1718963095.9547946,51.9414638,-2.3980295,106097.0
1718963096.155907,51.941464499999995,-2.3980294,106086.0
1718963096.216297,51.941465099999995,-2.3980292999999997,106112.0
1718963096.3370073,51.9414662,-2.3980292999999997,106119.0
1718963096.4577131,51.941467499999995,-2.3980291,106087.0
1718963096.5785625,51.941468799999996,-2.3980288,106094.0
1718963096.6993856,51.9414704,-2.3980289,106099.0
1718963096.8403604,51.9414717,-2.3980281999999997,106141.0
1718963096.9811509,51.9414734,-2.3980281999999997,106148.0
1718963097.0817764,51.941475,-2.3980278,106156.0
1718963097.2056434,51.941476599999994,-2.3980277,106157.0
1718963097.3277009,51.9414781,-2.3980270999999997,106142.0
1718963097.45095,51.941479699999995,-2.398027,106153.0
1718963097.5918834,51.941481599999996,-2.3980270999999997,106084.0
1718963097.7126384,51.941483299999994,-2.3980269,106080.0
1718963097.833406,51.9414847,-2.3980265,106092.0
1718963097.9541059,51.9414862,-2.398027,106046.0
1718963098.1352904,51.9414874,-2.3980262,106124.0
1718963098.2159371,51.9414891,-2.3980262,106095.0
1718963098.3367953,51.9414905,-2.3980256,106118.0
1718963098.4575257,51.9414922,-2.3980262,106089.0
1718963098.5783255,51.941493799999996,-2.3980259,106091.0
1718963098.6997597,51.9414954,-2.3980257,106094.0
1718963098.8408499,51.9414971,-2.3980256,106080.0
1718963098.9617,51.941498499999994,-2.3980253,106078.0
1718963099.10283,51.9414999,-2.398025,106088.0
1718963099.2037113,51.941501599999995,-2.3980251,106093.0
1718963099.3447073,51.9415032,-2.3980246999999997,106094.0
1718963099.4453068,51.9415048,-2.3980243999999997,106111.0
1718963099.5864618,51.9415063,-2.398024,106141.0
1718963099.7074008,51.941507699999995,-2.3980237,106146.0
1718963099.828162,51.9415093,-2.3980234,106177.0
