time,x,y,z,heading
1718963233.4775896,-28.70711392030057,-20.903388919213093,0.0,3.4521772105154303
1718963233.5185492,-28.65556878240129,-20.900157819554305,0.0,3.721592057938661
1718963233.5588095,-28.605052525574568,-20.896682100301273,0.0,4.1503564041701
1718963233.5990462,-28.55369659835425,-20.89263363448275,0.0,4.864427401461741
1718963233.6392593,-28.500291792638627,-20.887637722202907,0.0,5.824275398981164
1718963233.6795022,-28.447093210443423,-20.881498531583436,0.0,7.341511493970206
1718963233.7197874,-28.39519347280285,-20.873956615683202,0.0,9.194842599303055
1718963233.7601948,-28.345455830731034,-20.865060090824944,0.0,11.087550150199935
1718963233.800541,-28.294436519204613,-20.853960012166368,0.0,13.461135753070062
1718963233.8407679,-28.243054881808657,-20.84057084283538,0.0,15.749839623815857
1718963233.881015,-28.19298347047819,-20.825963950684248,0.0,16.776328740796984
1718963233.9211533,-28.144426626509784,-20.811078571536964,0.0,17.31011405807008
1718963233.9614055,-28.09707924513654,-20.79617059390569,0.0,17.644544181097494
1718963234.0016398,-28.04944951642377,-20.780907428252892,0.0,17.892047275223756
1718963234.04189,-28.00081052827821,-20.76511481029011,0.0,18.084196396628084
1718963234.082145,-27.95047057882104,-20.748650788078564,0.0,18.13717186939065
1718963234.1223788,-27.900751868969788,-20.732349570540045,0.0,18.168242388409492
1718963234.1626513,-27.852138743862287,-20.716373835487968,0.0,18.21591467590823
1718963234.202894,-27.803685976321063,-20.70041618973592,0.0,18.242099514706627
1718963234.243122,-27.754444515364646,-20.68418163337431,0.0,18.251934586990956
1718963234.2834961,-27.704840252288736,-20.66780816139834,0.0,18.282313834447205
1718963234.323742,-27.655283860414876,-20.65143327325311,0.0,18.28783230120718
1718963234.3639803,-27.605326371839553,-20.63487133843773,0.0,18.395008581302168
1718963234.4044259,-27.555052772159385,-20.618114987342025,0.0,18.471780178474134
1718963234.444842,-27.506375309490632,-20.60185744840428,0.0,18.465305004694446
1718963234.4850698,-27.45734541481067,-20.585451000640724,0.0,18.537373776108193
1718963234.5253046,-27.408314056612817,-20.569001816823477,0.0,18.554074015653708
1718963234.565571,-27.35842208154161,-20.552268025755932,0.0,18.528878337450134
1718963234.6057882,-27.307726446598036,-20.535338588487058,0.0,18.403853381279003
1718963234.6460962,-27.258235441676465,-20.518874134357237,0.0,18.398206381748643
1718963234.6863413,-27.209940366580433,-20.502826933409402,0.0,18.362411737495275
1718963234.7265713,-27.162744657739598,-20.48715595825555,0.0,18.374294532223487
1718963234.7668273,-27.114853817136616,-20.47121349608031,0.0,18.450047858879046
1718963234.8070579,-27.06467388042602,-20.454513105619174,0.0,18.36588046056957
1718963234.8473134,-27.014246590096082,-20.43786274184559,0.0,18.179075159192017
1718963234.867435,-26.965526327503465,-20.421910980986603,0.0,18.079404871268604
1718963234.9090412,-26.91788475254686,-20.406337182624487,0.0,18.12522688367252
1718963234.9492838,-26.86964063499615,-20.390476582122904,0.0,18.27207594100014
1718963234.9895132,-26.820881279158357,-20.374343462984225,0.0,18.343820033621068
1718963235.0297635,-26.771796361001602,-20.358073267457428,0.0,18.333837507361274
1718963235.069991,-26.721725346363318,-20.341457627347577,0.0,18.382133966187812
1718963235.1102297,-26.671415355203813,-20.324714242642848,0.0,18.43320133952317
1718963235.1506238,-26.622158543488833,-20.308251095456864,0.0,18.529236802370534
1718963235.1908767,-26.57408914622944,-20.29210001224763,0.0,18.61495840008662
1718963235.2310975,-26.5246417267796,-20.275445352884244,0.0,18.61369180537351
1718963235.2713892,-26.474696744194446,-20.258567262159282,0.0,18.729991930294624
1718963235.3116288,-26.424837627142775,-20.241617657801438,0.0,18.82093344779049
1718963235.3518796,-26.375394940614854,-20.22474125574377,0.0,18.87196133044455
1718963235.4323752,-26.274533205174105,-20.190155082958178,0.0,18.976748504638813
1718963235.4726324,-26.225041515108625,-20.173091086760877,0.0,19.070110035159484
1718963235.512862,-26.17688105671899,-20.156472617977627,0.0,19.005372658922894
1718963235.5531385,-26.128737843683286,-20.13989123377261,0.0,19.00387627590593
1718963235.5933669,-26.079386915500706,-20.122884728007396,0.0,19.024391278103746
1718963235.6336293,-26.0286386007341,-20.10541086835515,0.0,18.97523233579809
1718963235.6738846,-25.978044372826798,-20.088054529408907,0.0,18.893808367405445
1718963235.714111,-25.929445994792367,-20.07143805690748,0.0,18.85875850989845
1718963235.7543268,-25.882820082437522,-20.055521615400767,0.0,18.83743008889635
1718963235.7945545,-25.835826606691384,-20.039424379278756,0.0,18.979534819713386
1718963235.8347855,-25.78727847537329,-20.022729521522084,0.0,18.974869623524867
1718963235.8756087,-25.737819989408038,-20.00574803107215,0.0,18.92478092949019
1718963235.915824,-25.68934691984536,-19.98916545155252,0.0,18.846732031614607
1718963235.9560447,-25.64112950340299,-19.9727419660961,0.0,18.772302459884788
1718963235.9962811,-25.593232737584344,-19.956456398850648,0.0,18.785194114608846
1718963236.0365808,-25.54386051646224,-19.939707214585933,0.0,18.693105331290685
1718963236.0769377,-25.492662371228217,-19.922449209092726,0.0,18.563030482834847
1718963236.1172545,-25.441793942939515,-19.905416113839216,0.0,18.462812422919615
1718963236.1574988,-25.39243499457046,-19.888876290263028,0.0,18.588437686514645
1718963236.1977274,-25.3432004314097,-19.872263233444357,0.0,18.703100366971476
1718963236.2381012,-25.292965847366766,-19.855185589547304,0.0,18.848642024636387
1718963236.278527,-25.244550859908962,-19.838664510592913,0.0,18.83463696278352
1718963236.318743,-25.196873648053582,-19.822390508456202,0.0,18.858718889628022
1718963236.3591301,-25.14893891754638,-19.805991203732717,0.0,18.91469952231147
1718963236.3994966,-25.10086161582066,-19.789495755016706,0.0,18.95975930704802
1718963236.4397552,-25.052331742288665,-19.772799551671625,0.0,19.0107431190078
1718963236.4800282,-25.004274840866216,-19.756201250662862,0.0,19.097904216706493
1718963236.5202613,-24.95569594100735,-19.73937739678031,0.0,19.106101005734974
1718963236.5606925,-24.906048601498675,-19.722138473979236,0.0,19.190716144492598
1718963236.60108,-24.857476448572722,-19.705230802984797,0.0,19.194676389560378
1718963236.641306,-24.809921100372076,-19.68873387148657,0.0,19.06860357970181
1718963236.6815236,-24.759801378450707,-19.6713202704964,0.0,19.249950129160872
1718963236.721746,-24.70732936680002,-19.65288803197846,0.0,19.460508027554162
1718963236.7619784,-24.6554662713214,-19.63458689187487,0.0,19.41272053738481
1718963236.802212,-24.60730593734566,-19.61776567876407,0.0,19.09336923747073
1718963236.8424523,-24.561033668040558,-19.60179394558915,0.0,18.99276098300391
1718963236.8826156,-24.5139657653708,-19.585518374505426,0.0,19.156901647714573
1718963236.922866,-24.463537196258834,-19.56791034826737,0.0,19.338200016972273
1718963236.9630978,-24.411839113441776,-19.549667223871555,0.0,19.535448348630432
1718963237.00351,-24.362761899622964,-19.532179574097952,0.0,19.689498798251176
1718963237.0437484,-24.31674930797305,-19.515681138068015,0.0,19.762462682447794
1718963237.0839891,-24.27006199498951,-19.4988870432024,0.0,19.80630637671948
1718963237.1245062,-24.219633995949085,-19.48069696259323,0.0,19.863851800837885
1718963237.1647646,-24.171571580853115,-19.463348547768238,0.0,19.830847357098378
1718963237.2050092,-24.121873146695464,-19.445517955296445,0.0,19.642662601353717
1718963237.2452614,-24.07445336246797,-19.428700434930114,0.0,19.411641406773207
1718963237.285508,-24.02686414851278,-19.412193151292733,0.0,18.84863839271978
1718963237.3257275,-23.97705808888318,-19.395503022725872,0.0,18.203607213097182
1718963237.3660994,-23.925080875427973,-19.37873494585357,0.0,17.556249731887483
1718963237.4063165,-23.873886805642847,-19.362854229607294,0.0,16.912175255684925
1718963237.4464366,-23.824305344103582,-19.348234812112672,0.0,15.944817902199812
1718963237.4866784,-23.775406033297383,-19.334850222209578,0.0,14.670993185242809
1718963237.526952,-23.726225290576128,-19.322564472164135,0.0,13.380800947103722
1718963237.567304,-23.67521254834887,-19.310894592228458,0.0,12.390174782230616
1718963237.6074266,-23.62340945123552,-19.299713436879074,0.0,11.969520565894818
1718963237.6476665,-23.57283011182955,-19.28903395532791,0.0,11.875472326025653
1718963237.6880732,-23.52287601901609,-19.27853940932357,0.0,11.853283730049862
1718963237.72829,-23.473426442599532,-19.268242992462763,0.0,11.67090491448371
1718963237.7483964,-23.423950652846695,-19.25803896030926,0.0,11.635999841618188
1718963237.788627,-23.371956865834953,-19.247299898556356,0.0,11.704115210000257
1718963237.8288393,-23.319212033203293,-19.236349105012074,0.0,11.753925227756666
1718963237.869065,-23.26846821967412,-19.225771503541274,0.0,11.79558111014681
1718963237.909304,-23.219795672348898,-19.21564205824055,0.0,11.716922762534338
1718963237.9495473,-23.169809696741897,-19.205346381376998,0.0,11.560124244359793
1718963237.9897964,-23.119237456934375,-19.19495906929354,0.0,11.65362146409104
1718963238.0299277,-23.069281891561893,-19.184593475150272,0.0,11.791012150484868
1718963238.0701845,-23.019767246870455,-19.174287662778617,0.0,11.723964367903436
1718963238.1103864,-22.96913222297895,-19.163770920028252,0.0,11.742719827306406
1718963238.1506133,-22.918100583060692,-19.15306819827932,0.0,11.946893972023021
1718963238.190928,-22.867290624229135,-19.14226862836888,0.0,12.052199235332115
1718963238.2311432,-22.816555092077724,-19.13138743118281,0.0,12.15739149539835
1718963238.2713685,-22.7650172366921,-19.120264365138418,0.0,12.200520014092112
1718963238.3120027,-22.712699633397467,-19.108923369509156,0.0,12.261262805976571
1718963238.3522449,-22.65919259297204,-19.097267461011793,0.0,12.317243274158676
1718963238.3924785,-22.60671630452644,-19.085833571885992,0.0,12.266512962761473
1718963238.4328284,-22.55576264764773,-19.074800122908822,0.0,12.16974788738019
1718963238.473198,-22.507773190799185,-19.064502048114782,0.0,12.053141321067764
1718963238.513438,-22.459740931393988,-19.054214375515613,0.0,12.125071660857255
1718963238.5536628,-22.40963141527648,-19.04342007573674,0.0,12.188048179801504
1718963238.593929,-22.358314983429167,-19.032290861837204,0.0,12.284919506268253
1718963238.6341841,-22.308011814378375,-19.021279874857672,0.0,12.408839375830928
1718963238.6744854,-22.25960959986136,-19.010602782083385,0.0,12.470586483638
1718963238.7147243,-22.21106100717599,-18.999643512020636,0.0,12.970678973697181
1718963238.7550983,-22.160026992808803,-18.98740865406921,0.0,13.992536951681641
