time,x,y,theta
1742565086.416443,92.884983,-1.025454,3.138845
1742565086.524986,92.796684,-1.050369,3.132375
1742565086.616340,92.667253,-1.088029,3.135556
1742565086.701761,92.582407,-1.117439,3.126655
1742565086.815090,92.574149,-1.083750,3.133752
1742565086.998666,92.591742,-1.068228,3.138111
1742565087.024666,92.411913,-1.051653,3.141481
1742565087.132524,92.294013,-1.049417,3.136573
1742565087.214630,92.178294,-1.055773,3.137887
1742565087.322100,92.056851,-1.072619,3.134665
1742565087.538576,92.082207,-1.083526,3.130752
1742565087.541991,91.910755,-1.069734,3.134611
1742565087.633075,91.831669,-1.088101,3.132617
1742565087.705886,91.728702,-1.090238,3.132742
1742565087.833078,91.721525,-1.064795,3.134633
1742565087.916039,91.638322,-1.086443,3.125721
1742565088.014967,91.535245,-1.106378,3.125761
1742565088.177854,91.530303,-1.065014,3.133780
1742565088.217294,91.400168,-1.042560,3.130940
1742565088.331819,91.347284,-1.064955,3.129684
1742565088.413730,91.259557,-1.072309,3.133042
1742565088.518249,91.165601,-0.993448,3.136785
1742565088.615209,91.029431,-0.986324,3.125041
1742565088.780043,90.984412,-1.029021,3.126565
1742565088.830359,90.760643,-1.051517,3.132249
1742565088.926096,90.690275,-1.064620,3.130380
1742565089.021902,90.599733,-1.147306,3.125771
1742565089.120034,90.490711,-1.071908,3.131772
1742565089.264270,90.531198,-1.019357,3.133466
1742565089.319795,90.309312,-1.091529,3.124399
1742565089.433692,90.283589,-1.070029,3.129263
1742565089.533010,90.188145,-1.034324,3.132197
1742565089.627939,90.100074,-1.018172,3.139423
1742565089.707805,89.958480,-1.028928,3.137213
1742565089.840283,89.914544,-1.007435,3.138340
1742565089.977390,89.950090,-1.042362,3.138149
1742565090.112386,89.643106,-1.082313,3.134783
1742565090.238955,89.537090,-1.064577,-3.140957
1742565090.324420,89.421336,-1.041005,3.136747
1742565090.420387,89.311444,-1.058274,3.138034
1742565090.601562,89.356100,-1.058250,3.132235
1742565090.609889,89.181979,-1.050312,3.131947
1742565090.706180,89.091683,-1.008414,3.137498
1742565090.825233,88.962215,-1.041309,3.133150
1742565090.917889,88.888751,-1.031648,3.132279
1742565091.020725,88.813603,-1.014503,3.134791
1742565091.184700,88.813881,-0.998905,3.135124
1742565091.232250,88.699301,-1.013136,3.134790
1742565091.313935,88.590986,-1.009721,3.134152
1742565091.416162,88.509148,-1.027005,3.132347
1742565091.523929,88.377087,-0.965804,-3.140332
1742565091.617523,88.276426,-1.002066,3.135636
1742565091.850638,88.281067,-1.063959,3.118498
1742565091.853276,88.098252,-1.064848,3.122728
1742565091.917729,88.070650,-1.044176,3.129111
1742565092.022166,87.965055,-1.109554,3.117796
1742565092.114193,87.956394,-1.085755,3.135345
1742565092.541544,88.026459,-1.007076,-3.108876
1742565092.544262,88.032090,-1.024199,-3.104338
1742565092.711520,88.029534,-1.048580,-3.106762
