time,x,y,theta
1746527991.077970,126.855087,10.019937,0.074335
1746527991.144582,126.964714,10.081686,0.065158
1746527991.222677,127.105232,10.068707,0.067333
1746527991.282841,127.198631,10.100632,0.062277
1746527991.349965,127.335503,10.167961,0.053454
1746527991.413736,127.384933,10.074268,0.056733
1746527991.495424,127.517159,10.169691,0.042801
1746527991.581581,127.592720,10.142179,0.044658
1746527991.677917,127.703979,10.154560,0.046524
1746527991.750254,127.779602,10.150840,0.044636
1746527991.853017,127.844818,10.110848,0.052101
1746527991.951843,127.957047,10.161394,0.034565
1746527992.052898,128.066559,10.176439,0.032106
1746527992.151153,128.207535,10.138121,0.040199
1746527992.251483,128.302521,10.124080,0.039441
1746527992.355598,128.449966,10.189511,0.013801
1746527992.455116,128.570099,10.174036,0.016319
1746527992.552471,128.645081,10.230533,0.007755
1746527992.650485,128.761963,10.251927,0.010531
1746527992.753728,128.796722,10.106536,0.028524
1746527992.851205,128.941193,10.193402,0.020572
1746527992.952331,129.009750,10.269364,0.019065
1746527993.062503,129.134338,10.306065,0.034771
1746527993.164045,129.207504,10.214697,0.050676
1746527993.252095,129.340073,10.218346,0.059963
1746527993.350878,129.432312,10.278409,0.049430
1746527993.453704,129.525101,10.265329,0.046429
1746527993.555436,129.570053,10.257692,0.057822
1746527993.653283,129.639832,10.261993,0.054194
1746527993.752429,129.758682,10.327569,0.041446
1746527993.850553,129.882034,10.362027,0.052864
1746527993.950395,129.900543,10.290883,0.053781
1746527994.051363,129.970657,10.302982,0.052457
1746527994.152971,130.085571,10.305183,0.052595
1746527994.250325,130.168365,10.308524,0.059663
1746527994.353735,130.261215,10.307972,0.059339
1746527994.453356,130.389328,10.399551,0.051296
1746527994.582144,130.539276,10.355383,0.056290
1746527994.652186,130.629013,10.359960,0.049749
1746527994.749812,130.686432,10.366661,0.044240
1746527994.872417,130.741211,10.377240,0.043897
1746527994.962385,130.917206,10.396442,0.035092
1746527995.052632,130.963409,10.411506,0.035302
1746527995.149242,131.136826,10.426481,0.037237
1746527995.254047,131.147186,10.417645,0.032473
1746527995.352103,131.313721,10.446853,0.028354
1746527995.451339,131.373260,10.404603,0.034306
1746527995.551140,131.461212,10.383715,0.034176
1746527995.654418,131.548996,10.386072,0.034144
1746527995.753999,131.596786,10.451693,0.029089
1746527995.855666,131.730118,10.453491,0.020734
1746527995.952821,131.821732,10.436397,0.023532
1746527996.217433,131.967087,10.461632,0.024697
1746527996.279797,132.105606,10.444373,0.021362
1746527996.409769,132.174957,10.419988,0.026123
1746527996.528036,132.260544,10.423058,0.030826
1746527996.587984,132.376343,10.499294,0.022623
1746527996.653202,132.419785,10.501974,0.019134
1746527996.653710,132.497620,10.448936,0.032092
1746527996.762902,132.574448,10.471477,0.041362
1746527996.852512,132.647186,10.497788,0.042439
1746527996.963528,132.756973,10.494046,0.042002
1746527997.069252,132.843948,10.580339,0.027652
1746527997.155990,132.915497,10.447405,0.055502
1746527997.254113,133.019379,10.485147,0.047451
1746527997.354914,133.078583,10.516228,0.046675
1746527997.451711,133.176453,10.548943,0.037265
1746527997.551518,133.250427,10.534404,0.043790
1746527997.656211,133.344467,10.509225,0.049231
1746527997.755106,133.425354,10.585121,0.054474
1746527997.852765,133.557648,10.540636,0.064714
1746527997.955307,133.648285,10.563408,0.066855
1746527998.054104,133.778976,10.573117,0.060731
1746527998.151012,133.888840,10.594224,0.054408
1746527998.250105,133.940872,10.593324,0.057078
1746527998.350452,134.048325,10.619225,0.050387
1746527998.455544,134.089264,10.577311,0.065304
1746527998.553043,134.229248,10.619581,0.053485
1746527998.651247,134.312714,10.640196,0.049153
1746527998.755848,134.382004,10.627465,0.051938
1746527998.850531,134.475311,10.649857,0.052759
1746527998.954869,134.571884,10.607555,0.054631
1746527999.051305,134.621429,10.684790,0.043582
1746527999.152993,134.718918,10.645040,0.064385
1746527999.253617,134.838593,10.624458,0.063210
1746527999.354483,134.932663,10.691131,0.061916
1746527999.462370,135.018951,10.725350,0.060136
1746527999.552431,135.126984,10.713214,0.058964
1746527999.652609,135.180832,10.684743,0.051937
1746527999.762453,135.264938,10.650194,0.063972
1746527999.849381,135.407303,10.730391,0.052484
1746527999.950337,135.449326,10.706488,0.052399
1746528000.051053,135.566055,10.713854,0.066389
1746528000.153963,135.686386,10.753920,0.053387
