time,x,y,theta
1732883429.223833,76.908332,3.691945,0.002599
1732883429.424082,76.984766,3.695675,0.007121
1732883429.524080,77.056994,3.696962,0.009908
1732883429.624152,77.126348,3.701740,0.003251
1732883429.824185,77.218808,3.700623,0.009814
1732883429.924137,77.286391,3.699887,0.013945
1732883430.024098,77.364280,3.699570,0.016303
1732883430.124098,77.450003,3.700995,0.008230
1732883430.224068,77.543134,3.700493,-0.038740
1732883430.323860,77.614903,3.702205,0.004291
1732883430.423729,77.702044,3.714506,0.000343
1732883430.523771,77.786908,3.713306,0.001445
1732883430.623785,77.892044,3.736781,-0.034145
1732883430.723943,77.989314,3.729743,-0.017558
1732883430.923804,78.109713,3.748737,-0.033743
1732883431.023746,78.223776,3.747294,-0.025626
1732883431.123702,78.332935,3.768025,-0.050887
1732883431.223796,78.450016,3.761914,-0.030887
1732883431.323971,78.563029,3.773239,-0.047276
1732883431.424048,78.686083,3.761245,-0.010434
1732883431.624230,78.810137,3.781234,-0.048912
1732883431.724231,78.928419,3.773565,-0.030860
1732883431.824183,79.045948,3.771085,-0.017905
1732883431.924159,79.159039,3.767834,-0.005572
1732883432.024059,79.283689,3.771155,-0.027080
1732883432.123918,79.397845,3.766045,-0.006995
1732883432.223880,79.510030,3.767494,-0.012987
1732883432.323878,79.619128,3.767157,-0.013525
1732883432.423827,79.735554,3.769699,-0.012951
1732883432.524090,79.854875,3.763545,-0.036947
1732883432.623986,79.947479,3.756987,-0.002680
1732883432.724006,80.063302,3.782749,-0.037171
1732883432.824016,80.167289,3.761177,0.003299
1732883432.923955,80.280567,3.770233,-0.011456
1732883433.023831,80.379180,3.781588,-0.007422
1732883433.123735,80.483835,3.772197,0.026200
1732883433.223869,80.594911,3.776354,0.017118
1732883433.323937,80.682876,3.784487,0.012484
1732883433.424054,80.795263,3.795588,-0.002825
1732883433.524138,80.884086,3.789660,0.015144
1732883433.724348,80.999868,3.807038,-0.007275
1732883433.824219,81.099510,3.808909,0.000482
1732883433.924225,81.199478,3.819615,-0.005288
1732883434.024139,81.293064,3.814672,0.009948
1732883434.123952,81.402365,3.827574,-0.005227
1732883434.223844,81.497637,3.829811,0.006846
1732883434.323760,81.591583,3.827492,0.015322
1732883434.423653,81.689541,3.824845,0.029886
1732883434.523622,81.786096,3.832672,0.028588
1732883434.723796,81.901218,3.834834,0.018861
1732883434.823930,82.006666,3.842270,0.010291
1732883434.924001,82.094595,3.846010,0.003196
1732883435.024093,82.189983,3.845290,0.015092
1732883435.124088,82.292597,3.848764,0.011240
1732883435.224129,82.381559,3.856646,-0.002084
1732883435.323919,82.455679,3.846254,0.028426
1732883435.423807,82.563152,3.866111,0.002752
1732883435.523861,82.649733,3.869890,0.006503
1732883435.723945,82.741359,3.868061,-0.007226
