time,x,y,theta
1732883362.924025,21.151587,1.667754,0.065387
1732883363.024068,21.227121,1.687931,0.063928
1732883363.124115,21.331850,1.676849,0.064323
1732883363.224105,21.385225,1.693905,0.067150
1732883363.324213,21.459784,1.707595,0.061973
1732883363.424350,21.519590,1.700396,0.060068
1732883363.524274,21.579119,1.713577,0.061688
1732883363.624243,21.670448,1.710733,0.056968
1732883363.724272,21.771929,1.721823,0.050473
1732883363.824242,21.931446,1.733381,0.047346
1732883363.924121,22.004250,1.725646,0.052600
1732883364.024047,22.091322,1.721591,0.048956
1732883364.124071,22.198540,1.763268,0.048539
1732883364.223981,22.322849,1.776730,0.053303
1732883364.324028,22.364857,1.763042,0.050291
1732883364.424102,22.476683,1.764923,0.048903
1732883364.524092,22.589651,1.790001,0.047417
1732883364.624060,22.711075,1.765571,0.047198
1732883364.724140,22.790001,1.808423,0.040143
1732883364.824082,22.879736,1.801304,0.047321
1732883364.923950,22.969584,1.817239,0.046935
1732883365.023965,23.072832,1.778354,0.050927
1732883365.123965,23.169521,1.804715,0.047590
1732883365.223976,23.274008,1.817990,0.047932
1732883365.324114,23.409882,1.850816,0.044093
1732883365.424057,23.495646,1.847060,0.051060
1732883365.524134,23.601173,1.847679,0.047635
1732883365.624194,23.675367,1.839577,0.047902
1732883365.724146,23.805292,1.871354,0.045112
1732883365.824111,23.883472,1.889465,0.040064
1732883365.923933,23.993862,1.900092,0.051459
1732883366.023816,24.102707,1.905410,0.045987
1732883366.123912,24.173294,1.899268,0.045813
1732883366.223963,24.270622,1.912506,0.047080
1732883366.324084,24.336830,1.894965,0.052669
1732883366.424285,24.500919,1.911503,0.042609
1732883366.524285,24.580919,1.920450,0.051727
1732883366.624316,24.711691,1.917601,0.046937
1732883366.724531,24.775581,1.933953,0.049764
1732883366.824333,24.906254,1.953505,0.044387
1732883366.924235,25.004385,1.956430,0.047365
1732883367.024007,25.121563,1.965024,0.046496
1732883367.123964,25.243740,1.949062,0.040984
1732883367.223991,25.343256,1.995697,0.040364
1732883367.323818,25.452486,1.982261,0.043741
1732883367.423764,25.528759,1.974154,0.042502
1732883367.523749,25.649120,2.005786,0.046794
1732883367.623596,25.718563,2.009929,0.047676
1732883367.723751,25.808729,1.996074,0.041678
1732883367.823807,25.875166,2.020610,0.042391
1732883367.923760,25.940767,2.012863,0.046548
1732883368.023866,25.988976,2.018070,0.045946
1732883368.123885,26.075109,2.016461,0.045645
1732883368.224036,26.119022,2.029966,0.043302
1732883368.323976,26.182314,2.044492,0.040581
1732883368.423975,26.268188,2.045738,0.042159
1732883368.523955,26.355309,2.041871,0.044786
1732883368.623972,26.413124,2.054155,0.040294
1732883368.724047,26.511499,2.070320,0.042181
1732883368.823997,26.575157,2.082097,0.045327
1732883368.924109,26.675301,2.081448,0.047496
1732883369.024104,26.745996,2.082890,0.047194
1732883369.124114,26.831676,2.084823,0.048380
1732883369.224090,26.925428,2.099164,0.046816
1732883369.324148,27.038660,2.104607,0.046049
1732883369.424119,27.140236,2.118045,0.042855
1732883369.524162,27.201157,2.086385,0.047440
1732883369.624124,27.312811,2.117763,0.042633
1732883369.724063,27.362675,2.110539,0.045486
1732883369.824169,27.457680,2.156478,0.040033
1732883369.924123,27.513594,2.142833,0.042053
1732883370.024093,27.595703,2.133178,0.043508
1732883370.124120,27.713369,2.153509,0.045114
1732883370.223884,27.827370,2.166835,0.044459
1732883370.323990,27.946444,2.165283,0.040673
1732883370.424005,28.072231,2.180933,0.042678
1732883370.523980,28.144098,2.165956,0.039691
1732883370.624099,28.225109,2.208798,0.036663
1732883370.724002,28.276289,2.165382,0.040903
1732883370.823985,28.335033,2.184037,0.038642
1732883370.923975,28.417639,2.195840,0.039691
1732883371.024017,28.490543,2.211439,0.039542
1732883371.123994,28.556477,2.217385,0.041980
1732883371.223972,28.629080,2.209486,0.039677
1732883371.324221,28.684513,2.221639,0.041041
1732883371.423975,28.786083,2.234074,0.042835
1732883371.524058,28.891626,2.233618,0.039460
1732883371.624075,28.972021,2.254966,0.038627
1732883371.723978,29.048473,2.278106,0.039507
1732883371.824014,29.133617,2.265720,0.039243
1732883371.924004,29.228563,2.276971,0.037231
1732883372.024050,29.268492,2.272453,0.040375
1732883372.123935,29.341446,2.276402,0.038594
1732883372.223991,29.414337,2.292950,0.038867
1732883372.323947,29.487482,2.280295,0.039465
1732883372.424050,29.583004,2.293231,0.039124
1732883372.523938,29.668173,2.304045,0.040423
1732883372.623876,29.746546,2.285149,0.038863
1732883372.723954,29.851826,2.297848,0.036978
1732883372.824029,29.947929,2.319307,0.036412
1732883372.923995,29.971718,2.331626,0.036712
1732883373.024070,30.045547,2.312046,0.040961
1732883373.124020,30.129953,2.314629,0.038118
1732883373.224053,30.253193,2.298566,0.040073
1732883373.324092,30.341908,2.306240,0.040790
1732883373.424101,30.381443,2.303630,0.042952
1732883373.524085,30.519028,2.344897,0.034438
1732883373.624074,30.603199,2.349328,0.038656
1732883373.724112,30.724405,2.329483,0.035685
1732883373.824242,30.809086,2.313178,0.036121
1732883373.924193,30.878620,2.331111,0.037921
1732883374.024158,30.937294,2.328655,0.039285
1732883374.124087,31.043764,2.334398,0.035473
1732883374.224042,31.129391,2.362338,0.037947
1732883374.323853,31.243029,2.372560,0.038655
1732883374.423827,31.289574,2.347464,0.038428
1732883374.523926,31.392466,2.372461,0.037791
1732883374.623860,31.509676,2.380056,0.035735
1732883374.723957,31.610033,2.410444,0.032913
1732883374.823916,31.689497,2.412392,0.037415
1732883374.923963,31.784668,2.380954,0.036085
1732883375.023887,31.862295,2.405845,0.036923
1732883375.123950,31.928085,2.400352,0.038922
1732883375.224044,32.065987,2.386092,0.045705
